siret_txt,siret,société,nom_historique,naf732,secteur,activité_naf_détaillée_(insee),enseigne,année_de_création_de_létablissement,commune,code_commune_insee,epci,effectifs_2024,date_de_mise_à_jour_des_effectifs,segmentation,sport-montagne,sportdomaine,cleantech,sante,santedomaine,energie,energiedomaine,numerique,num_domaine,chimie,chimiedomaine
80378297800024,80378297-00024,ALTAMENDI (Skaping),ALTAMENDI,6201Z,Services aux entreprises,"Informatique : ESN, logiciels, Data",SKAPING,2014,GRENOBLE,38185.0,Grenoble-Alpes-Métropole,11.0,2024-12-31 00:00:00,2.0,1.0,Montagne,0.0,0.0,,0.0,,1.0,Informatique & Logiciels,0.0,
81109523100015,81109523-00015,BLUECIME,,7112B,Services aux entreprises,"Ingénierie, architecture, analyses techniques",,2015,MONTBONNOT SAINT MARTIN,38249.0,CC Le Grésivaudan,11.0,2024-12-31 00:00:00,2.0,1.0,Montagne,0.0,0.0,,0.0,,1.0,Informatique & Logiciels,0.0,
81050605500021,81050605-00021,CLIC'ISSIMO,,6311Z,Services aux entreprises,"Informatique : ESN, logiciels, Data",,2015,MEYLAN,38229.0,Grenoble-Alpes-Métropole,11.0,2024-12-31 00:00:00,1.0,0.0,,0.0,0.0,,0.0,,1.0,Informatique & Logiciels,0.0,
88946461600016,88946461-00016,FunCell,,7219z,Services aux entreprises,Recherche-développement,,2020,GIERES,38179.0,Grenoble-Alpes-Métropole,11.0,2024-12-31 00:00:00,1.0,0.0,,1.0,0.0,,0.0,,0.0,,0.0,
89079169200035,89079169-00035,ADLIN SCIENCE,ADLIN SCIENCE,6201Z,Services aux entreprises,"Informatique : ESN, logiciels, Data",,14/02/20225,GRENOBLE,38185.0,Grenoble-Alpes-Métropole,10.0,2024-12-31 00:00:00,1.0,0.0,,0.0,1.0,,0.0,,1.0,Informatique & Logiciels,0.0,
49071438300034,49071438-00034,CCB Greentech,,2365Z,Industrie,"Matériaux de construction (verre, ciment, béton, pierre)",,2006,BEAUREPAIRE,38034.0,,10.0,2024-12-31 00:00:00,1.0,0.0,,1.0,0.0,,0.0,,0.0,,0.0,
82461252700013,82461252-00013,Uska,DAHUB,6201Z,Services aux entreprises,"Informatique : ESN, logiciels, Data",,2017,MEYLAN,38229.0,Grenoble-Alpes-Métropole,10.0,2024-12-31 00:00:00,2.0,1.0,Montagne,0.0,0.0,,0.0,,1.0,Informatique & Logiciels,0.0,
83786304200045,83786304-00045,DOCPROCESS FRANCE,,7112B,Services aux entreprises,"Ingénierie, architecture, analyses techniques",,2015,MEYLAN,38229.0,Grenoble-Alpes-Métropole,10.0,2024-12-31 00:00:00,1.0,0.0,,0.0,0.0,,0.0,,1.0,Informatique & Logiciels,0.0,
79247442100023,79247442-00023,SMART ORIGIN,SMART ORIGIN,5829C,Services aux entreprises,"Informatique : ESN, logiciels, Data",,2013,GRENOBLE,38185.0,Grenoble-Alpes-Métropole,10.0,2024-12-31 00:00:00,1.0,0.0,,0.0,0.0,,0.0,,1.0,Informatique & Logiciels,0.0,
81540999000018,81540999-00018,ATLANTIS,,6201Z,Services aux entreprises,"Informatique : ESN, logiciels, Data",FRANCE OBJETS TROUVES,2015,MEYLAN,38229.0,Grenoble-Alpes-Métropole,10.0,2024-12-31 00:00:00,1.0,0.0,,0.0,0.0,,0.0,,1.0,Informatique & Logiciels,0.0,
79958445300036,79958445-00036,CAMECA (POLYGON PHYSICS),POLYGON PHYSICS (P3S38 marque déposée),2899B,Industrie,"Machines et équipements (fabrication, installation, réparation)",,2014,FONTAINE,38169.0,Grenoble-Alpes-Métropole,10.0,2024-01-01 00:00:00,1.0,0.0,,0.0,0.0,,0.0,,1.0,Microélectronique & Nanotechnologies,0.0,
41778726400049,41778726-00049,10 COM,10 COM,7311Z,Services aux entreprises,Autres services aux entreprises,,1998,BRIE ET ANGONNES,38059.0,Grenoble-Alpes-Métropole,10.0,2022-05-20 00:00:00,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
49531461900067,49531461-00067,2 F,,4791B,Services aux entreprises,"Informatique : ESN, logiciels, Data",EKOSPORT,,SAINT MARTIN D'HERES,38421.0,Grenoble-Alpes-Métropole,10.0,2020-06-01 00:00:00,1.0,0.0,,0.0,0.0,,0.0,,1.0,Informatique & Logiciels,0.0,
'05950084300053,0595008-00053,A MEUNIER MERE ET FILS,MEUNIER A. MÈRE ET FILS - Distillerie,1101Z,Industrie,Industries agroalimentaires,DISTILLERIE ST BRUNO - ALPINOIX,1969,SAINT QUENTIN SUR ISERE,38450.0,CC Saint-Marcellin Vercors Isère Communauté,10.0,2024-01-01 00:00:00,99.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
79425489600028,79425489-00028,ABMS GROUPE,ABMS GROUPE,6420Z,Services aux entreprises,"Services juridiques, comptables, sièges sociaux, autres",,2016,VIF,38545.0,Grenoble-Alpes-Métropole,10.0,2020-06-01 00:00:00,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
48137011200031,48137011-00031,ACT RMC,ACT'RMC,8299Z,Services aux entreprises,Autres services aux entreprises,,2006,MEYLAN,38229.0,Grenoble-Alpes-Métropole,10.0,2023-01-01 00:00:00,99.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
45307957600022,45307957-00022,AG CONCEPT,,7112B,Services aux entreprises,"Ingénierie, architecture, analyses techniques",,,ECHIROLLES,38151.0,,10.0,2022-09-14 00:00:00,2.0,0.0,,0.0,1.0,,0.0,,1.0,Microélectronique & Nanotechnologies,0.0,
83979859200011,83979859-00011,AGENCE TINTAMARRE,,6201Z,Services aux entreprises,"Informatique : ESN, logiciels, Data",,,GRENOBLE,38185.0,Grenoble-Alpes-Métropole,10.0,2020-06-01 00:00:00,1.0,0.0,,0.0,0.0,,0.0,,1.0,Informatique & Logiciels,0.0,
50528346500027,50528346-00027,AGORI GROUPE,AGORI GROUPE,6920Z,Services aux entreprises,"Services juridiques, comptables, sièges sociaux, autres",,2010,SEYSSINET PARISET,38485.0,Grenoble-Alpes-Métropole,10.0,2020-06-01 00:00:00,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
48356113000053,48356113-00053,AGORI SUD ISERE,,6920Z,Services aux entreprises,"Services juridiques, comptables, sièges sociaux, autres",,,LA MURE,38269.0,CC de la Matheysine,10.0,2020-06-01 00:00:00,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
